task,domain,subdomain
Longest common substring,Algorithms and Data Structures,Algorithms
Longest increasing subsequence,Algorithms and Data Structures,Algorithms
Longest string challenge,Puzzles and Games,Logic and Mathematical Puzzles
Look-and-say sequence,Mathematics,Mathematical Sequences and Series
Loop over multiple arrays simultaneously,Algorithms and Data Structures,Algorithms
Loops/Break,Programming Concepts,Fundamentals
Loops/Continue,Programming Concepts,Fundamentals
Loops/Do-while,Programming Concepts,Fundamentals
Loops/Downward for,Programming Concepts,Fundamentals
Loops/For,Programming Concepts,Fundamentals
Loops/For with a specified step,Programming Concepts,Fundamentals
Loops/Foreach,Programming Concepts,Fundamentals
Loops/Increment loop index within loop body,Algorithms and Data Structures,Algorithms
Loops/Infinite,Programming Concepts,Fundamentals
Loops/N plus one half,Programming Concepts,Fundamentals
Loops/Nested,Algorithms and Data Structures,Algorithms
Loops/While,Programming Concepts,Fundamentals
Loops/With multiple ranges,Programming Concepts,Fundamentals
Loops/Wrong ranges,Programming Concepts,Fundamentals
Lucas-Lehmer test,Mathematics,Number Theory
Lucky and even lucky numbers,Puzzles and Games,Logic and Mathematical Puzzles
Ludic numbers,Mathematics,Combinatorics
Luhn test of credit card numbers,Mathematics,Number Theory
Lychrel numbers,Mathematics,Number Theory
MAC Vendor Lookup,Networking and Web Development,Networking
MD4,Security and Cryptography,Cryptographic Techniques
MD5,Security and Cryptography,Cryptographic Techniques
MD5/Implementation,Security and Cryptography,Cryptographic Techniques
Machine code,Operating Systems and Shell Programming,Operating System Concepts
Mad Libs,Puzzles and Games,Puzzle Solving Algorithms
Magic 8-ball,Puzzles and Games,Game Development
Magic constant,Mathematics,Combinatorics
Magic squares of doubly even order,Mathematics,Combinatorics
Magic squares of odd order,Mathematics,Combinatorics
Magic squares of singly even order,Mathematics,Combinatorics
Main step of GOST 28147-89,Security and Cryptography,Cryptographic Techniques
Make directory path,Systems Programming and File I/O,File Operations
Man or boy test,Puzzles and Games,Logic and Mathematical Puzzles
Mandelbrot set,Graphics and Visualization,Graphics Programming
Map range,Mathematics,Algebra and Arithmetic
Mastermind,Puzzles and Games,Game Development
Matrix chain multiplication,Algorithms and Data Structures,Algorithms
Matrix digital rain,Graphics and Visualization,Graphics Programming
Matrix multiplication,Mathematics,Algebra and Arithmetic
Matrix transposition,Algorithms and Data Structures,Algorithms
Matrix-exponentiation operator,Algorithms and Data Structures,Algorithms
Maximum triangle path sum,Puzzles and Games,Logic and Mathematical Puzzles
Mayan calendar,Mathematics,Numerical Methods
Mayan numerals,Mathematics,Numerical Methods
Maze generation,Puzzles and Games,Puzzle Solving Algorithms
Maze solving,Puzzles and Games,Puzzle Solving Algorithms
McNuggets problem,Mathematics,Combinatorics
Median filter,Graphics and Visualization,Graphics Programming
Memory allocation,Systems Programming and File I/O,File Operations
Memory layout of a data structure,Systems Programming and File I/O,System Programming
Menu,Programming Concepts,Fundamentals
Merge and aggregate datasets,Databases and Data Management,Data Serialization and Formats
Mertens function,Mathematics,Number Theory
Metallic ratios,Mathematics,Numerical Methods
Metaprogramming,Programming Concepts,Advanced Concepts
Metered concurrency,Concurrency and Parallelism,Synchronization Mechanisms
Metronome,Puzzles and Games,Simulation and Modeling
Mian-Chowla sequence,Mathematics,Combinatorics
Middle three digits,Mathematics,Combinatorics
Miller–Rabin primality test,Security and Cryptography,Cryptographic Techniques
Mind boggling card trick,Puzzles and Games,Puzzle Solving Algorithms
Minesweeper game,Puzzles and Games,Game Development
Minimal steps down to 1,Algorithms and Data Structures,Algorithms
Minimum multiple of m where digital sum equals m,Mathematics,Number Theory
Minimum positive multiple in base 10 using only 0 and 1,Mathematics,Number Theory
Minkowski question-mark function,Mathematics,Number Theory
Modified random distribution,Algorithms and Data Structures,Algorithms
Modular arithmetic,Mathematics,Algebra and Arithmetic
Modular exponentiation,Algorithms and Data Structures,Algorithms
Modular inverse,Mathematics,Number Theory
Monads/List monad,Programming Concepts,Advanced Concepts
Monads/Maybe monad,Programming Concepts,Advanced Concepts
Monads/Writer monad,Programming Concepts,Advanced Concepts
Monte Carlo methods,Mathematics,Probability and Statistics
Monty Hall problem,Puzzles and Games,Logic and Mathematical Puzzles
Morse code,Text Processing,Text Encoding and Decoding
Mouse position,Programming Concepts,Fundamentals
Move-to-front algorithm,Algorithms and Data Structures,Algorithms
Multi-dimensional array,Algorithms and Data Structures,Data Structures
Multifactorial,Mathematics,Combinatorics
Multiple distinct objects,Programming Concepts,Fundamentals
Multiple regression,Mathematics,Probability and Statistics
Multiplication tables,Mathematics,Algebra and Arithmetic
Multiplicative order,Mathematics,Number Theory
Multisplit,Text Processing,Parsing and Tokenization
Munchausen numbers,Mathematics,Number Theory
Munching squares,Graphics and Visualization,Graphics Programming
Musical scale,Puzzles and Games,Simulation and Modeling
Mutual recursion,Algorithms and Data Structures,Algorithms
Möbius function,Mathematics,Number Theory
N'th,Mathematics,Combinatorics
N-queens problem,Puzzles and Games,Logic and Mathematical Puzzles
N-smooth numbers,Mathematics,Number Theory
Named parameters,Programming Concepts,Fundamentals
Naming conventions,Programming Concepts,Fundamentals
Narcissist,Algorithms and Data Structures,Algorithms
Narcissistic decimal number,Mathematics,Number Theory
Natural sorting,Algorithms and Data Structures,Algorithms
Nautical bell,Miscellaneous Topics,Utilities and Miscellaneous
Negative base numbers,Mathematics,Number Theory
Nested function,Programming Concepts,Fundamentals
Nested templated data,Programming Concepts,Fundamentals
Next highest int from digits,Algorithms and Data Structures,Algorithms
Nim game,Puzzles and Games,Game Development
Non-continuous subsequences,Algorithms and Data Structures,Algorithms
Non-decimal radices/Convert,Mathematics,Number Theory
Non-decimal radices/Input,Mathematics,Number Theory
Non-decimal radices/Output,Mathematics,Number Theory
Non-transitive dice,Mathematics,Combinatorics
Nonoblock,Puzzles and Games,Logic and Mathematical Puzzles
Nonogram solver,Puzzles and Games,Puzzle Solving Algorithms
Nth root,Mathematics,Numerical Methods
Null object,Programming Concepts,Fundamentals
Number names,Mathematics,Number Theory
Number reversal game,Puzzles and Games,Logic and Mathematical Puzzles
Numbers with equal rises and falls,Mathematics,Combinatorics
Numeric error propagation,Mathematics,Probability and Statistics
Numerical and alphabetical suffixes,Mathematics,Algebra and Arithmetic
Numerical integration,Mathematics,Numerical Methods
Numerical integration/Gauss-Legendre Quadrature,Mathematics,Numerical Methods
OLE automation,Systems Programming and File I/O,System Programming
Object serialization,Databases and Data Management,Data Serialization and Formats
Odd word problem,Puzzles and Games,Puzzle Solving Algorithms
Old Russian measure of length,Mathematics,Algebra and Arithmetic
Old lady swallowed a fly,Puzzles and Games,Puzzle Solving Algorithms
One of n lines in a file,Algorithms and Data Structures,Algorithms
One-dimensional cellular automata,Puzzles and Games,Simulation and Modeling
One-time pad,Security and Cryptography,Cryptographic Techniques
OpenGL,Graphics and Visualization,Graphics Programming
OpenWebNet password,Security and Cryptography,Cryptographic Techniques
Operator precedence,Programming Concepts,Fundamentals
Optional parameters,Programming Concepts,Fundamentals
Order by pair comparisons,Algorithms and Data Structures,Algorithms
Order disjoint list items,Algorithms and Data Structures,Algorithms
Order two numerical lists,Algorithms and Data Structures,Algorithms
Ordered partitions,Mathematics,Combinatorics
Ordered words,Text Processing,String Manipulation
P-value correction,Mathematics,Probability and Statistics
Padovan n-step number sequences,Mathematics,Mathematical Sequences and Series
Padovan sequence,Mathematics,Mathematical Sequences and Series
Palindrome dates,Puzzles and Games,Logic and Mathematical Puzzles
Palindrome detection,Text Processing,String Manipulation
Palindromic gapful numbers,Mathematics,Number Theory
Pancake numbers,Puzzles and Games,Logic and Mathematical Puzzles
Pangram checker,Puzzles and Games,Logic and Mathematical Puzzles
Paraffins,Mathematics,Combinatorics
Parallel brute force,Security and Cryptography,Cryptographic Techniques
Parallel calculations,Concurrency and Parallelism,Parallel Computing
Parameterized SQL statement,Databases and Data Management,Database Interaction
Parse an IP Address,Text Processing,Parsing and Tokenization
Parsing/RPN calculator algorithm,Algorithms and Data Structures,Algorithms
Parsing/RPN to infix conversion,Algorithms and Data Structures,Algorithms
Parsing/Shunting-yard algorithm,Algorithms and Data Structures,Algorithms
Partial function application,Programming Concepts,Advanced Concepts
Partition an integer x into n primes,Mathematics,Number Theory
Partition function P,Mathematics,Combinatorics
Pascal matrix generation,Mathematics,Combinatorics
Pascal's triangle,Mathematics,Combinatorics
Pascal's triangle/Puzzle,Puzzles and Games,Logic and Mathematical Puzzles
Password generator,Security and Cryptography,Cryptographic Techniques
Pathological floating point problems,Mathematics,Numerical Methods
Peaceful chess queen armies,Puzzles and Games,Logic and Mathematical Puzzles
Peano curve,Graphics and Visualization,Graphics Programming
Pell's equation,Mathematics,Number Theory
Penney's game,Puzzles and Games,Game Development
Pentagram,Graphics and Visualization,Graphics Programming
Pentomino tiling,Puzzles and Games,Puzzle Solving Algorithms
Percentage difference between images,Graphics and Visualization,Graphics Programming
Percolation/Bond percolation,Mathematics,Probability and Statistics
Percolation/Mean cluster density,Mathematics,Probability and Statistics
Percolation/Mean run density,Mathematics,Probability and Statistics
Percolation/Site percolation,Mathematics,Probability and Statistics
Perfect numbers,Mathematics,Number Theory
Perfect shuffle,Puzzles and Games,Puzzle Solving Algorithms
Perfect totient numbers,Mathematics,Number Theory
Periodic table,Mathematics,Combinatorics
Perlin noise,Graphics and Visualization,Graphics Programming
Permutation test,Mathematics,Probability and Statistics
Permutations,Mathematics,Combinatorics
Permutations by swapping,Algorithms and Data Structures,Algorithms
Permutations/Derangements,Algorithms and Data Structures,Algorithms
Permutations/Rank of a permutation,Mathematics,Combinatorics
Pernicious numbers,Mathematics,Number Theory
Phrase reversals,Text Processing,String Manipulation
Pi,Mathematics,Numerical Methods
Pick random element,Programming Concepts,Fundamentals
Pierpont primes,Mathematics,Number Theory
Pig the dice game,Puzzles and Games,Game Development
Pig the dice game/Player,Puzzles and Games,Game Development
Pinstripe/Display,Graphics and Visualization,Graphics Programming
Pisano period,Mathematics,Number Theory
Plasma effect,Graphics and Visualization,Graphics Programming
Play recorded sounds,Graphics and Visualization,Game Development
Playfair cipher,Security and Cryptography,Cryptographic Techniques
Playing cards,Puzzles and Games,Game Development
Plot coordinate pairs,Graphics and Visualization,Data Visualization
Pointers and references,Programming Concepts,Fundamentals
Poker hand analyser,Puzzles and Games,Logic and Mathematical Puzzles
Polymorphic copy,Programming Concepts,Advanced Concepts
Polymorphism,Programming Concepts,Advanced Concepts
Polynomial long division,Mathematics,Algebra and Arithmetic
Polynomial regression,Mathematics,Algebra and Arithmetic
Polyspiral,Graphics and Visualization,Graphics Programming
Population count,Mathematics,Number Theory
Power set,Mathematics,Combinatorics
Pragmatic directives,Programming Concepts,Advanced Concepts
Price fraction,Mathematics,Algebra and Arithmetic
Primality by Wilson's theorem,Mathematics,Number Theory
Primality by trial division,Mathematics,Number Theory
Prime conspiracy,Mathematics,Number Theory
Prime decomposition,Mathematics,Number Theory
Primes - allocate descendants to their ancestors,Mathematics,Number Theory
Primorial numbers,Mathematics,Number Theory
Priority queue,Algorithms and Data Structures,Algorithms
Probabilistic choice,Mathematics,Probability and Statistics
Problem of Apollonius,Mathematics,Geometry and Trigonometry
Program name,Operating Systems and Shell Programming,Shell and Command-Line
Program termination,Programming Concepts,Fundamentals
Proper divisors,Mathematics,Number Theory
Pseudo-random numbers/Combined recursive generator MRG32k3a,Mathematics,Probability and Statistics
Pseudo-random numbers/Middle-square method,Mathematics,Probability and Statistics
Pseudo-random numbers/PCG32,Algorithms and Data Structures,Algorithms
Pseudo-random numbers/Splitmix64,Mathematics,Probability and Statistics
Pseudo-random numbers/Xorshift star,Algorithms and Data Structures,Algorithms
Pythagoras tree,Graphics and Visualization,Graphics Programming
Pythagorean quadruples,Mathematics,Number Theory
Pythagorean triples,Mathematics,Number Theory
QR decomposition,Mathematics,Numerical Methods
Quaternion type,Mathematics,Algebra and Arithmetic
Queue/Definition,Algorithms and Data Structures,Data Structures
Queue/Usage,Algorithms and Data Structures,Data Structures
Quickselect algorithm,Algorithms and Data Structures,Algorithms
Quine,Puzzles and Games,Logic and Mathematical Puzzles
RIPEMD-160,Security and Cryptography,Cryptographic Techniques
RPG attributes generator,Puzzles and Games,Game Development
RSA code,Security and Cryptography,Cryptographic Techniques
Ramanujan's constant,Mathematics,Number Theory
Ramer-Douglas-Peucker line simplification,Graphics and Visualization,Graphics Programming
Random Latin squares,Puzzles and Games,Logic and Mathematical Puzzles
Random number generator (device),Algorithms and Data Structures,Algorithms
Random number generator (included),Algorithms and Data Structures,Algorithms
Random numbers,Mathematics,Probability and Statistics
Random sentence from book,Puzzles and Games,Puzzle Solving Algorithms
Range consolidation,Mathematics,Combinatorics
Range expansion,Mathematics,Combinatorics
Range extraction,Algorithms and Data Structures,Algorithms
Ranking methods,Algorithms and Data Structures,Algorithms
Rare numbers,Mathematics,Number Theory
Rate counter,Miscellaneous Topics,Time and Date Manipulation
Ray-casting algorithm,Algorithms and Data Structures,Algorithms
Read a configuration file,Databases and Data Management,Data Serialization and Formats
Read a file character by character/UTF8,Systems Programming and File I/O,File Operations
Read a file line by line,Systems Programming and File I/O,File Operations
Read a specific line from a file,Systems Programming and File I/O,File Operations
Read entire file,Systems Programming and File I/O,File Operations
Real constants and functions,Mathematics,Algebra and Arithmetic
Recaman's sequence,Mathematics,Mathematical Sequences and Series
Record sound,Systems Programming and File I/O,File Operations
Reduced row echelon form,Mathematics,Linear Algebra
Reflection/Get source,Programming Concepts,Fundamentals
Reflection/List methods,Programming Concepts,Fundamentals
Reflection/List properties,Programming Concepts,Fundamentals
Regular expressions,Text Processing,Regular Expressions
Remove duplicate elements,Algorithms and Data Structures,Algorithms
Remove lines from a file,Systems Programming and File I/O,File Operations
Rename a file,Systems Programming and File I/O,File Operations
Rendezvous,Concurrency and Parallelism,Multithreading and Thread Management
Rep-string,Puzzles and Games,Logic and Mathematical Puzzles
Repeat,Programming Concepts,Fundamentals
Repeat a string,Text Processing,String Manipulation
Repunit primes,Mathematics,Number Theory
Resistor mesh,Mathematics,Numerical Methods
Respond to an unknown method call,Programming Concepts,Fundamentals
Retrieve and search chat history,Networking and Web Development,Web Development
Return multiple values,Programming Concepts,Fundamentals
Reverse a string,Text Processing,String Manipulation
Reverse words in a string,Text Processing,String Manipulation
Rock-paper-scissors,Puzzles and Games,Game Development
Roman numerals/Decode,Mathematics,Algebra and Arithmetic
Roman numerals/Encode,Mathematics,Number Theory
Roots of a function,Mathematics,Numerical Methods
Roots of a quadratic function,Mathematics,Numerical Methods
Roots of unity,Mathematics,Complex Numbers
Rosetta Code/Count examples,Networking and Web Development,Web Development
Rosetta Code/Find bare lang tags,Text Processing,Parsing and Tokenization
Rosetta Code/Find unimplemented tasks,Networking and Web Development,Web Development
Rosetta Code/Fix code tags,Text Processing,Parsing and Tokenization
Rosetta Code/Rank languages by number of users,Networking and Web Development,Web Development
Rosetta Code/Rank languages by popularity,Networking and Web Development,Web Development
Rot-13,Security and Cryptography,Cryptographic Techniques
Run-length encoding,Algorithms and Data Structures,Algorithms
Runge-Kutta method,Mathematics,Numerical Methods
Runtime evaluation,Programming Concepts,Advanced Concepts
Runtime evaluation/In an environment,Programming Concepts,Advanced Concepts
S-expressions,Text Processing,Parsing and Tokenization
SEDOLs,Algorithms and Data Structures,Algorithms
SHA-1,Security and Cryptography,Cryptographic Techniques
SHA-256,Security and Cryptography,Cryptographic Techniques
SHA-256 Merkle tree,Security and Cryptography,Cryptographic Techniques
SOAP,Networking and Web Development,Web Development
SQL-based authentication,Databases and Data Management,Database Interaction
Safe addition,Mathematics,Numerical Methods
Safe primes and unsafe primes,Mathematics,Number Theory
"Sailors, coconuts and a monkey problem",Puzzles and Games,Logic and Mathematical Puzzles
Same fringe,Algorithms and Data Structures,Algorithms
Scope modifiers,Programming Concepts,Fundamentals
Scope/Function names and labels,Programming Concepts,Fundamentals
Search a list,Algorithms and Data Structures,Algorithms
Search a list of records,Databases and Data Management,Data Serialization and Formats
Search in paragraph's text,Text Processing,Pattern Matching
Secure temporary file,Systems Programming and File I/O,File Operations
Selectively replace multiple instances of a character within a string,Text Processing,String Manipulation
Self numbers,Mathematics,Number Theory
Self-describing numbers,Mathematics,Combinatorics
Semiprime,Mathematics,Number Theory
Semordnilap,Text Processing,String Manipulation
Send an unknown method call,Programming Concepts,Advanced Concepts
Send email,Networking and Web Development,Networking
Sequence of non-squares,Mathematics,Number Theory
Sequence of primes by trial division,Mathematics,Number Theory
Sequence of primorial primes,Mathematics,Number Theory
Sequence: nth number with exactly n divisors,Mathematics,Number Theory
Sequence: smallest number greater than previous term with exactly n divisors,Mathematics,Number Theory
Sequence: smallest number with exactly n divisors,Mathematics,Number Theory
Set,Algorithms and Data Structures,Data Structures
Set consolidation,Algorithms and Data Structures,Algorithms
Set of real numbers,Mathematics,Set Theory
Set puzzle,Puzzles and Games,Logic and Mathematical Puzzles
Set right-adjacent bits,Algorithms and Data Structures,Algorithms
Seven-sided dice from five-sided dice,Algorithms and Data Structures,Algorithms
Sexy primes,Mathematics,Number Theory
Shell one-liner,Operating Systems and Shell Programming,Shell and Command-Line
Shoelace formula for polygonal area,Mathematics,Geometry and Trigonometry
Short-circuit evaluation,Programming Concepts,Fundamentals
Shortest common supersequence,Algorithms and Data Structures,Algorithms
Show ASCII table,Text Processing,String Manipulation
Show the epoch,Miscellaneous Topics,Time and Date Manipulation
Sierpinski arrowhead curve,Graphics and Visualization,Graphics Programming
Sierpinski carpet,Graphics and Visualization,Graphics Programming
Sierpinski pentagon,Graphics and Visualization,Graphics Programming
Sierpinski square curve,Graphics and Visualization,Graphics Programming
Sierpinski triangle,Puzzles and Games,Logic and Mathematical Puzzles
Sierpinski triangle/Graphical,Graphics and Visualization,Graphics Programming
Sieve of Eratosthenes,Algorithms and Data Structures,Algorithms
Simple database,Databases and Data Management,Database Interaction
Simple turtle graphics,Graphics and Visualization,Graphics Programming
Simple windowed application,Programming Concepts,Fundamentals
Simulate input/Keyboard,Systems Programming and File I/O,File Operations
Simulate input/Mouse,Systems Programming and File I/O,System Programming
Singleton,Programming Concepts,Advanced Concepts
Singly-linked list/Element definition,Algorithms and Data Structures,Data Structures
Singly-linked list/Element insertion,Algorithms and Data Structures,Data Structures
Singly-linked list/Traversal,Algorithms and Data Structures,Data Structures
Sleep,Operating Systems and Shell Programming,Operating System Concepts
Sleeping Beauty problem,Mathematics,Probability and Statistics
Smarandache prime-digital sequence,Mathematics,Number Theory
Smith numbers,Mathematics,Number Theory
Snake,Puzzles and Games,Game Development
Sockets,Networking and Web Development,Networking
Sokoban,Puzzles and Games,Puzzle Solving Algorithms
Solve a Hidato puzzle,Puzzles and Games,Puzzle Solving Algorithms
Solve a Holy Knight's tour,Puzzles and Games,Logic and Mathematical Puzzles
Solve a Hopido puzzle,Puzzles and Games,Puzzle Solving Algorithms
Solve a Numbrix puzzle,Puzzles and Games,Puzzle Solving Algorithms
Solve the no connection puzzle,Puzzles and Games,Logic and Mathematical Puzzles
Sort a list of object identifiers,Algorithms and Data Structures,Algorithms
Sort an array of composite structures,Algorithms and Data Structures,Algorithms
Sort an integer array,Algorithms and Data Structures,Algorithms
Sort an outline at every level,Text Processing,Parsing and Tokenization
Sort disjoint sublist,Algorithms and Data Structures,Algorithms
Sort numbers lexicographically,Algorithms and Data Structures,Algorithms
Sort stability,Algorithms and Data Structures,Algorithms
Sort three variables,Algorithms and Data Structures,Algorithms
Sort using a custom comparator,Algorithms and Data Structures,Algorithms
Sorting Algorithms/Circle Sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Bead sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Bogosort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Bubble sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Cocktail sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Cocktail sort with shifting bounds,Algorithms and Data Structures,Algorithms
Sorting algorithms/Comb sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Counting sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Gnome sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Heapsort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Insertion sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Merge sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Pancake sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Patience sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Permutation sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Quicksort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Radix sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Selection sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Shell sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Sleep sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Stooge sort,Algorithms and Data Structures,Algorithms
Sorting algorithms/Strand sort,Algorithms and Data Structures,Algorithms
Soundex,Text Processing,String Manipulation
Sparkline in unicode,Text Processing,Unicode and Character Sets
Special characters,Text Processing,String Manipulation
Special variables,Programming Concepts,Fundamentals
Speech synthesis,Programming Concepts,Fundamentals
Spelling of ordinal numbers,Mathematics,Number Theory
Spinning rod animation/Text,Puzzles and Games,Game Development
Spiral matrix,Puzzles and Games,Logic and Mathematical Puzzles
Split a character string based on change of character,Text Processing,String Manipulation
Square but not cube,Mathematics,Number Theory
Square-free integers,Mathematics,Number Theory
Stable marriage problem,Algorithms and Data Structures,Algorithms
Stack,Algorithms and Data Structures,Data Structures
Stack traces,Systems Programming and File I/O,File Operations
Stair-climbing puzzle,Puzzles and Games,Logic and Mathematical Puzzles
State name puzzle,Puzzles and Games,Logic and Mathematical Puzzles
Statistics/Basic,Mathematics,Probability and Statistics
Statistics/Normal distribution,Mathematics,Probability and Statistics
Stem-and-leaf plot,Mathematics,Data Visualization
Stern-Brocot sequence,Mathematics,Mathematical Sequences and Series
Stirling numbers of the first kind,Mathematics,Combinatorics
Stirling numbers of the second kind,Mathematics,Combinatorics
Straddling checkerboard,Security and Cryptography,Cryptographic Techniques
Strassen's algorithm,Algorithms and Data Structures,Algorithms
Stream merge,Algorithms and Data Structures,Algorithms
String append,Programming Concepts,Fundamentals
String case,Text Processing,String Manipulation
String comparison,Text Processing,String Manipulation
String concatenation,Text Processing,String Manipulation
String interpolation (included),Text Processing,String Manipulation
String length,Text Processing,String Manipulation
String matching,Text Processing,String Manipulation
String prepend,Text Processing,String Manipulation
Strip a set of characters from a string,Text Processing,String Manipulation
Strip block comments,Text Processing,String Manipulation
Strip comments from a string,Text Processing,String Manipulation
Strip control codes and extended characters from a string,Text Processing,String Manipulation
Strip whitespace from a string/Top and tail,Text Processing,String Manipulation
Strong and weak primes,Mathematics,Number Theory
Subleq,Programming Concepts,Fundamentals
Substitution cipher,Security and Cryptography,Cryptographic Techniques
Substring,Text Processing,String Manipulation
Substring/Top and tail,Text Processing,String Manipulation
Subtractive generator,Algorithms and Data Structures,Algorithms
Successive prime differences,Mathematics,Number Theory
Sudoku,Puzzles and Games,Logic and Mathematical Puzzles
Suffixation of decimal numbers,Text Processing,String Manipulation
Sum and product of an array,Mathematics,Algebra and Arithmetic
Sum and product puzzle,Puzzles and Games,Logic and Mathematical Puzzles
Sum digits of an integer,Mathematics,Algebra and Arithmetic
Sum multiples of 3 and 5,Mathematics,Algebra and Arithmetic
Sum of a series,Mathematics,Mathematical Sequences and Series
Sum of elements below main diagonal of matrix,Mathematics,Algebra and Arithmetic
Sum of squares,Mathematics,Algebra and Arithmetic
Sum to 100,Puzzles and Games,Logic and Mathematical Puzzles
Summarize and say sequence,Mathematics,Mathematical Sequences and Series
Summarize primes,Mathematics,Number Theory
Super-d numbers,Mathematics,Combinatorics
Superellipse,Mathematics,Geometry and Trigonometry
Superpermutation minimisation,Puzzles and Games,Logic and Mathematical Puzzles
Sutherland-Hodgman polygon clipping,Graphics and Visualization,Graphics Programming
Sylvester's sequence,Mathematics,Mathematical Sequences and Series
Symmetric difference,Mathematics,Set Theory
Synchronous concurrency,Concurrency and Parallelism,Multithreading and Thread Management
System time,Operating Systems and Shell Programming,Operating System Concepts
Take notes on the command line,Operating Systems and Shell Programming,Shell and Command-Line
Tarjan,Algorithms and Data Structures,Algorithms
Tau function,Mathematics,Number Theory
Tau number,Mathematics,Number Theory
Taxicab numbers,Mathematics,Number Theory
Teacup rim text,Puzzles and Games,Logic and Mathematical Puzzles
Temperature conversion,Mathematics,Algebra and Arithmetic
Terminal control/Clear the screen,Operating Systems and Shell Programming,Shell and Command-Line
Terminal control/Coloured text,Text Processing,String Manipulation
Terminal control/Cursor movement,Operating Systems and Shell Programming,Shell and Command-Line
Terminal control/Cursor positioning,Operating Systems and Shell Programming,Operating System Concepts
Terminal control/Dimensions,Operating Systems and Shell Programming,Operating System Concepts
Terminal control/Display an extended character,Operating Systems and Shell Programming,Operating System Concepts
Terminal control/Hiding the cursor,Systems Programming and File I/O,File Operations
Terminal control/Inverse video,Systems Programming and File I/O,File Operations
Terminal control/Positional read,Operating Systems and Shell Programming,Operating System Concepts
Terminal control/Preserve screen,Operating Systems and Shell Programming,Operating System Concepts
Terminal control/Ringing the terminal bell,Operating Systems and Shell Programming,Operating System Concepts
Terminal control/Unicode output,Operating Systems and Shell Programming,Operating System Concepts
Ternary logic,Mathematics,Logic and Mathematical Puzzles
Test a function,Software Engineering,Testing and Debugging
Test integerness,Mathematics,Algebra and Arithmetic
Text processing/1,Text Processing,Parsing and Tokenization
Text processing/2,Text Processing,Parsing and Tokenization
Text processing/Max licenses in use,Text Processing,Parsing and Tokenization
Textonyms,Puzzles and Games,Logic and Mathematical Puzzles
The ISAAC Cipher,Security and Cryptography,Cryptographic Techniques
The Name Game,Puzzles and Games,Puzzle Solving Algorithms
The Twelve Days of Christmas,Puzzles and Games,Puzzle Solving Algorithms
The sieve of Sundaram,Algorithms and Data Structures,Algorithms
Thiele's interpolation formula,Mathematics,Numerical Methods
Thue-Morse,Mathematics,Mathematical Sequences and Series
Tic-tac-toe,Puzzles and Games,Game Development
Time a function,Miscellaneous Topics,Time and Date Manipulation
Tokenize a string,Text Processing,Tokenization
Tokenize a string with escaping,Text Processing,String Manipulation
Tonelli-Shanks algorithm,Mathematics,Number Theory
Top rank per group,Databases and Data Management,Data Serialization and Formats
Topic variable,Programming Concepts,Fundamentals
Topological sort,Algorithms and Data Structures,Algorithms
Topswops,Puzzles and Games,Logic and Mathematical Puzzles
Total circles area,Mathematics,Geometry and Trigonometry
Totient function,Mathematics,Number Theory
Towers of Hanoi,Puzzles and Games,Logic and Mathematical Puzzles
Trabb Pardo–Knuth algorithm,Algorithms and Data Structures,Algorithms
Tree datastructures,Algorithms and Data Structures,Data Structures
Tree from nesting levels,Algorithms and Data Structures,Algorithms
Tree traversal,Algorithms and Data Structures,Algorithms
Trigonometric functions,Mathematics,Geometry and Trigonometry
Truncatable primes,Mathematics,Number Theory
Truncate a file,Systems Programming and File I/O,File Operations
Truth table,Mathematics,Logic and Boolean Algebra
Twelve statements,Puzzles and Games,Logic and Mathematical Puzzles
Twin primes,Mathematics,Number Theory
Two bullet roulette,Mathematics,Probability and Statistics
UPC,Puzzles and Games,Puzzle Solving Algorithms
URL decoding,Text Processing,URL Encoding and Decoding
URL encoding,Text Processing,Encoding and Decoding
URL parser,Text Processing,Parsing and Tokenization
UTF-8 encode and decode,Text Processing,Text Encoding and Decoding
Ulam spiral (for primes),Mathematics,Number Theory
Unbias a random generator,Algorithms and Data Structures,Algorithms
Undefined values,Programming Concepts,Fundamentals
Unicode strings,Text Processing,Unicode and Character Sets
Unicode variable names,Text Processing,Unicode and Character Sets
Universal Turing machine,Algorithms and Data Structures,Algorithms
Unix/ls,Operating Systems and Shell Programming,Shell and Command-Line
